Designator,Mid X,Mid Y,Rotation,Layer
MX89,241.3,-182.303825,0.0,top
MX9,284.1625,-101.341325,0.0,top
MX90,260.35,-182.303825,0.0,top
MX91,279.4,-182.303825,0.0,top
MX92,298.45,-182.303825,0.0,top
MX93,353.21875,-182.303825,0.0,top
MX94,412.75,-182.303825,0.0,top
MX95,455.6125,-182.303825,0.0,top
MX96,474.6625,-182.303825,0.0,top
MX97,493.7125,-182.303825,0.0,top
MX98,512.7625,-191.828825,0.0,top
MX99,512.7625,-182.303825,0.0,top
NRST1,438.162142,-176.768616,0.0,bottom
R1,433.4375,-184.308751,90.0,bottom
S1,115.09375,-185.291825,0.0,top
S2,236.5375,-202.601925,180.0,top
S3,353.21875,-185.291825,0.0,top
S4,357.98125,-164.501925,180.0,top
S5,360.3625,-128.141825,0.0,top
S6,465.1375,-202.601925,180.0,top
S7,511.89255,-193.946875,270.0,top
S8,511.89255,-155.846875,270.0,top
S9,366.6363,-155.846875,0.0,top
U1,384.235624,-135.709017,270.0,bottom
U2,412.75,-164.975,0.0,bottom
