Designator,Mid X,Mid Y,Rotation,Layer
MX67,136.525,-163.193825,0.0,top
MX68,155.575,-163.193825,0.0,top
MX69,174.625,-163.193825,0.0,top
MX7,246.0625,-101.281325,0.0,top
MX70,193.675,-163.193825,0.0,top
MX71,212.725,-163.193825,0.0,top
MX72,231.775,-163.193825,0.0,top
MX73,250.825,-163.193825,0.0,top
MX74,269.875,-163.193825,0.0,top
MX75,288.925,-163.193825,0.0,top
MX76,307.975,-163.193825,0.0,top
MX77,327.025,-163.193825,0.0,top
MX78,346.075,-163.193825,0.0,top
MX79,357.98125,-164.501925,0.0,top
MX8,265.1125,-101.281325,0.0,top
MX80,369.8875,-125.093825,0.0,top
MX81,455.6125,-163.193825,0.0,top
MX82,474.6625,-163.193825,0.0,top
MX83,493.7125,-163.193825,0.0,top
MX84,512.7625,-163.193825,0.0,top
MX85,115.09375,-185.291825,0.0,top
MX86,105.568752,-182.243893,0.0,top
MX87,127.0,-182.243825,0.0,top
MX88,146.05,-182.243825,0.0,top
MX89,165.1,-182.243825,0.0,top
MX9,284.1625,-101.281325,0.0,top
MX90,184.15,-182.243825,0.0,top
MX91,203.2,-182.243825,0.0,top
MX92,222.25,-182.243825,0.0,top
MX93,241.3,-182.243825,0.0,top
MX94,260.35,-182.243825,0.0,top
MX95,279.4,-182.243825,0.0,top
MX96,298.45,-182.243825,0.0,top
MX97,317.5,-182.243825,0.0,top
MX98,343.69375,-182.243825,0.0,top
MX99,353.223665,-185.291825,0.0,top
Q1,406.328377,-115.010948,0.0,bottom
Q2,399.475252,-115.010948,0.0,bottom
Q3,114.9675,-171.3725,270.0,bottom
Q4,460.6875,-133.2725,270.0,bottom
Q5,417.33,-109.4625,270.0,bottom
Q8,382.672688,-198.57127,180.0,bottom
Q9,384.160188,-195.12127,90.0,bottom
R1,384.2625,-131.975,0.0,bottom
R10,396.175252,-115.960948,180.0,bottom
R11,116.284375,-174.5,135.0,bottom
R12,463.1875,-135.906251,90.0,bottom
R13,411.4875,-111.209375,270.0,bottom
R14,117.718124,-172.551876,315.0,bottom
R15,463.697499,-134.205626,0.0,bottom
R16,420.4625,-109.265625,0.0,bottom
R17,420.4625,-110.365625,0.0,bottom
R18,448.977501,-103.459375,0.0,bottom
R19,448.977501,-109.509375,0.0,bottom
R2,384.35,-139.975,0.0,bottom
R20,376.322688,-198.061271,90.0,bottom
R21,378.718896,-198.06088,270.0,bottom
R22,385.410188,-199.031269,270.0,bottom
R23,381.360188,-194.731269,270.0,bottom
R24,381.660188,-192.48377,270.0,bottom
R25,385.910188,-197.62127,180.0,bottom
R26,386.910188,-196.52127,180.0,bottom
R3,375.122688,-198.061271,90.0,bottom
R4,448.977501,-97.359375,0.0,bottom
R5,403.225252,-114.060948,180.0,bottom
R6,403.225252,-115.960948,180.0,bottom
R7,102.8375,-168.559375,0.0,bottom
R8,454.3375,-135.049376,270.0,bottom
R9,396.175253,-117.060948,180.0,bottom
SW1,376.0375,-193.559375,0.0,bottom
U1,384.235624,-135.709017,270.0,bottom
U2,412.75,-164.975,0.0,bottom
